Code INSEE;Commune
29098;LAMPAUL-PLOUARZEL
29029;CLEDEN-POHER
29149;MILIZAC
29063;GOULIEN
29059;GARLAN
29219;LE PONTHOU
29295;TREMAOUEZAN
29184;PLOUENAN
29246;SAINT-ELOY
29013;BOTMEUR
29016;BRASPARTS
29134;LOCRONAN
29119;LANRIVOARE
29065;GOURLIZON
29090;KERLAZ
29025;CAST
29068;GUICLAN
29204;PLOUNEVENTER
29112;LANILDUT
29173;PLONEIS
29080;HOPITAL-CAMFROUT
29108;LANDUDEC
29293;TREGUNC
29259;SAINT-POL-DE-LEON
29185;PLOUESCAT
29132;LOCQUENOLE
29113;LANMEUR
29206;PLOUNEVEZ-LOCHRIST
29193;PLOUGOURVEST
29094;KERNOUES
29276;SIBIRIL
29160;PLABENNEC
29089;KERGLOFF
29176;PLONEVEZ-PORZAY
29282;TREBABU
29075;GUIPAVAS
29174;PLONEOUR-LANVERN
29216;PLUGUFFAN
29266;SAINT-THEGONNEC
29278;SPEZET
29158;PENMARCH
29034;LE CLOITRE-SAINT-THEGONNEC
29101;LANDEDA
29239;ROSCOFF
29288;TREGARANTEC
29218;PONT-CROIX
29135;LOCTUDY
29167;PLOGASTEL-SAINT-GERMAIN
29145;CONFORT-MEILARS
29226;POULLAN-SUR-MER
29128;LOC-EGUINER
29245;SAINT-DIVY
29084;ILE-MOLENE
29175;PLONEVEZ-DU-FAOU
29179;PLOUDANIEL
29008;BEUZEC-CAP-SIZUN
29250;SAINT-HERNIN
29229;QUEMENEVEN
29042;CROZON
29079;HENVIC
29265;SAINTE-SEVE
29040;LE CONQUET
29275;SCRIGNAC
29249;SAINT-GOAZEC
29151;MORLAIX
29263;SAINT-SEGAL
29209;PLOUVIEN
29106;LANDREVARZEC
29195;PLOUGUERNEAU
29221;PORSPODER
29289;TREGARVAN
29041;CORAY
29110;LANGOLEN
29010;BODILIS
29060;GOUESNACH
29202;PLOUNEOUR-MENEZ
29236;RIEC-SUR-BELON
29187;PLOUGAR
29189;PLOUGASTEL-DAOULAS
29035;COAT-MEAL
29213;PLOUZEVEDE
29248;SAINT-FREGANT
29153;NEVEZ
29224;POULDERGAT
29299;TREOUERGAT
29005;BAYE
29024;CARHAIX-PLOUGUER
29260;SAINT-RENAN
29047;LE DRENNEC
29099;LAMPAUL-PLOUDALMEZEAU
29093;KERNILIS
29046;DOUARNENEZ
29056;LA FOREST-LANDERNEAU
29286;TREFLEVENEZ
29205;PLOUNEVEZEL
29012;BOLAZEC
29241;ROSPORDEN
29198;PLOUIDER
29190;PLOUGONVELIN
29002;ARZANO
29227;POULLAOUEN
29095;KERSAINT-PLABENNEC
29066;GUENGAT
29215;PLOZEVET
29243;SAINT-COULITZ
29087;LE JUCH
29201;PLOUMOGUER
29191;PLOUGONVEN
29078;HANVEC
29053;LE FAOU
29021;BRIGNOGAN-PLAGE
29270;SAINT-URBAIN
29083;ILE-DE-SEIN
29166;PLOEVEN
29214;PLOVAN
29264;SAINT-SERVAIS
29247;SAINT-EVARZEC
29032;CLOHARS-FOUESNANT
29294;LE TREHOU
29233;QUIMPERLE
29287;TREFLEZ
29234;REDENE
29027;CHATEAUNEUF-DU-FAOU
29156;PENCRAN
29072;GUILVINEC
29178;PLOUDALMEZEAU
29272;SAINT-YVI
29237;LA ROCHE-MAURICE
29062;GOUEZEC
29064;GOULVEN
29232;QUIMPER
29269;SAINT-THURIEN
29131;LOCMELAR
29285;TREFLAOUENAN
29133;LOCQUIREC
29114;LANNEANOU
29023;CARANTEC
29212;PLOUZANE
29150;MOELAN-SUR-MER
29159;PEUMERIT
29022;CAMARET-SUR-MER
29107;LANDUDAL
29073;GUIMAEC
29081;HUELGOAT
29061;GOUESNOU
29163;PLEYBER-CHRIST
29100;LANARVILY
29271;SAINT-VOUGAY
29014;BOTSORHEL
29217;PONT-AVEN
29147;MELLAC
29102;LANDELEAU
29069;GUILERS
29199;PLOUIGNEAU
29162;PLEYBEN
29123;LENNON
29045;DIRINON
29067;GUERLESQUIN
29017;BRELES
29220;PONT-L'ABBE
29148;MESPAUL
29007;BERRIEN
29104;LANDEVENNEC
29296;TREMEOC
29172;PLOMODIERN
29281;TOURCH
29291;TREGOUREZ
29235;LE RELECQ-KERHUON
29279;TAULE
29036;COLLOREC
29280;TELGRUC-SUR-MER
29018;BRENNILIS
29254;SAINT-MARTIN-DES-CHAMPS
29207;PLOURIN-LES-MORLAIX
29033;LE CLOITRE-PLEYBEN
29251;SAINT-JEAN-DU-DOIGT
29180;PLOUDIRY
29015;BOURG-BLANC
29126;LOC-BREVALAIRE
29290;TREGLONOU
29124;LESNEVEN
29006;BENODET
29146;MELGVEN
29115;LANNEDERN
29019;BREST
29111;LANHOUARNEAU
29001;ARGOL
29211;PLOUYE
29054;LA FEUILLEE
29169;PLOGONNEC
29130;LOCMARIA-PLOUZANE
29030;CLEDER
29082;ILE-DE-BATZ
29052;ESQUIBIEN
29120;LANVEOC
29196;PLOUGUIN
29085;ILE-TUDY
29222;PORT-LAUNAY
29208;PLOURIN
29142;LOTHEY
29262;SAINT-SAUVEUR
29057;LA FORET-FOUESNANT
29183;PLOUEGAT-MOYSAN
29268;SAINT-THONAN
29116;LANNEUFFRET
29244;SAINT-DERRIEN
29298;TREOGAT
29161;PLEUVEN
29004;BANNALEC
29192;PLOUGOULM
29051;ERGUE-GABERIC
29225;POULDREUZIC
29300;LE TREVOUX
29091;KERLOUAN
29105;LANDIVISIAU
29165;PLOBANNALEC-LESCONIL
29125;LEUHAN
29109;LANDUNVEZ
29182;PLOUEGAT-GUERAND
29277;SIZUN
29228;PRIMELIN
29152;MOTREFF
29186;PLOUEZOC'H
29144;LA MARTYRE
29230;QUERRIEN
29011;BOHARS
29297;TREMEVEN
29043;DAOULAS
29136;LOCUNOLE
29055;LE FOLGOET
29140;LOPERHET
29139;LOPEREC
29197;PLOUHINEC
29284;TREFFIAGAT
29038;COMMANA
29256;SAINT-NIC
29141;LOQUEFFRET
29070;GUILER-SUR-GOYEN
29127;LOC-EGUINER-SAINT-THEGONNEC
29117;LANNILIS
29168;PLOGOFF
29301;TREZILIDE
29292;TREGUENNEC
29302;PONT-DE-BUIS-LES-QUIMERCH
29267;SAINT-THOIS
29003;AUDIERNE
29031;CLOHARS-CARNOET
29037;COMBRIT
29261;SAINT-RIVOAL
29103;LANDERNEAU
29086;IRVILLAC
29143;MAHALON
29097;LAMPAUL-GUIMILIAU
29181;PLOUEDERN
29058;FOUESNANT
29238;ROSCANVEL
29026;CHATEAULIN
29020;BRIEC
29039;CONCARNEAU
29071;GUILLIGOMARC'H
29188;PLOUGASNOU
29240;ROSNOEN
29048;EDERN
29273;SANTEC
29076;GUIPRONVEL
29129;LOCMARIA-BERRIEN
29171;PLOMEUR
29155;OUESSANT
29077;GUISSENY
29044;DINEAULT
29257;SAINT-PABU
29177;PLOUARZEL
29170;PLOMELIN
29252;SAINT-JEAN-TROLIMON
29274;SCAER
29137;LOGONNA-DAOULAS
29203;PLOUNEOUR-TREZ
29049;ELLIANT
29074;GUIMILIAU
29122;LAZ
29210;PLOUVORN
29028;CLEDEN-CAP-SIZUN
29255;SAINT-MEEN
